#{"t_start": 1783066693.586284, "env_id": "None"}
r,l,t-1-36.146198,97,6.68411
-38.884431,26,6.688092
-65.882132,125,6.709115
-4.597053,172,12.425155
-1.800795,69,12.436434
-1.883957,87,12.454116
-27.377026,125,18.182016
0.935508,238,18.222303
-11.611425,109,18.239609
-24.842732,30,23.661692
-3.866484,189,23.691984
-6.718437,71,23.702788
1.379417,90,29.214057
-55.406153,121,29.247973
-4.619889,131,29.271003
-42.015097,25,34.884854
-42.015097,25,34.888648
-19.431597,173,34.915438
2.734253,59,40.399831
-22.097135,191,40.429369
-11.343607,94,40.444048
-31.738323,85,46.422957
-16.460515,206,46.454108
-42.553872,156,46.479248
-6.081631,67,51.903946
22.63358,44,51.911388
-4.305012,70,51.921879
-14.850533,59,57.510148
-4.861116,107,57.526736
-5.092639,73,57.537464
-57.591631,131,63.83213
-47.712928,94,63.846494
-15.769746,163,63.871598
13.38704,25,69.453195
15.410081,42,69.462011
-1.5476,158,69.496219
0,8.434495
-54.684768,198,8.68164
-52.17569,224,8.771179
3.680557,145,8.823502
-58.02835,518,9.002227
-54.974423,384,9.35804
-81.31108,631,9.589582
-80.719411,727,10.027949
-63.725583,203,10.104772
-118.884217,404,10.416158
-13.208406,173,10.47598
-67.600653,740,10.908735
-22.23864,340,11.043676
-95.209919,804,11.638031
-99.743714,529,11.856343
-58.655222,627,12.253887
-66.039803,174,12.315218
-96.336683,615,12.88897
-124.984212,1064,13.469738
-56.060179,327,13.613865
-47.207308,393,13.853717
-28.970699,323,14.192147
-161.122318,1065,14.761735
-86.076906,663,14.997963
-31.443057,87,15.02916
-26.142219,231,15.284631
-112.554156,597,15.494113
-87.476133,694,15.922504
-11.187195,172,15.983867
-63.325114,619,16.40628
-57.454381,698,16.662453
-28.908213,313,16.951305
-99.272511,859,17.420397
-57.93441,303,17.526949
-83.04927,280,17.624286
-39.401193,550,17.996104
-50.189486,287,18.295602
-120.997138,1267,18.91037
-35.856537,463,19.247044
-21.848736,93,19.280364
-59.548428,391,19.416746
-88.349731,646,19.826498
-69.450103,1021,20.362093
-3.733509,287,20.464221
-10.550035,50,20.482587
-7.267046,238,20.565703
-32.55239,555,20.935514
-2.673566,452,21.096339
7.055798,470,21.431947
5.383658,127,21.475833
-31.84024,735,21.940691
-36.415805,164,21.998481
-104.184492,1587,22.733388
-67.237701,610,23.118419
5.179262,471,23.282439
-44.424895,458,23.859043
1.20197,530,24.061188
-22.650818,451,24.41352
-75.492879,1430,25.103215
25.665003,329,25.222091
5.988766,223,25.480345
-35.816458,152,25.5352
-22.931395,794,26.120011
-17.089612,670,26.376411
-33.148093,483,26.752702
-19.106291,470,26.920914
-32.874279,411,27.240199
39.523846,530,27.429645
-90.752044,1586,28.346063
-0.273667,548,28.538039
8.794759,569,28.909077
19.213705,583,29.117384
-27.989703,832,29.804184
-30.252644,607,30.208864
12.788159,745,30.478109
-13.236268,1668,31.450129
9.627418,582,31.846307
29.353074,1068,32.427601
-13.293096,1276,33.055015
-20.346321,471,33.220022
19.811863,1039,33.759381
-65.869074,1481,34.734287
-55.713653,1181,35.430454
-53.331383,1736,36.388387
-32.626937,103,36.425787
-37.847063,613,36.645956
-3.366641,160,36.877067
-14.506267,79,36.904502
-33.394188,1250,37.519696
-3.180921,422,37.667262
-20.568863,1040,38.210634
-97.736387,2095,39.319574
41.617945,616,39.730467
31.266106,1027,40.474498
74.497999,897,40.967298
-9.293553,992,41.527369
-17.717738,368,41.657121
-34.315031,1376,42.322126
81.846206,1060,43.038621
42.87275,552,43.232713
71.641279,1610,44.237881
57.951342,966,44.972501
-87.649378,2199,46.518242
6.806475,1516,47.264925
-1.353763,543,47.628723
77.535665,147,47.679739
-32.432566,1803,48.668462
23.691273,1614,49.439972
0.52578,617,49.835043
47.006385,125,49.879707
32.597067,426,50.029029
-109.037424,2191,51.223202
16.646907,1761,52.427891
55.634449,494,52.798055
-219.914671,2140,53.89135
71.494419,421,54.037436
42.529065,1659,55.049991
64.678393,287,55.150086
73.660122,1633,56.16628
58.577757,1329,56.817016
-5.456368,144,56.867559
-70.493732,1993,58.044498
106.440649,1065,58.752535
88.729245,1177,59.347238
72.120892,575,59.719246
86.140384,118,59.760621
84.541235,833,60.225445
28.007913,1383,61.568129
39.359595,1389,62.270558
43.294672,1328,63.100771
58.84469,510,63.27814
17.724408,1573,64.471544
-22.922013,1906,65.530833
100.82763,1545,66.247362
