#{"t_start": 1774338387.4557528, "env_id": "None"}
r,l,t6568.502084,246,8.218386
68.502084,246,8.255854
68.502084,246,8.294765
84.484216,246,16.284001
84.484216,246,16.324016
84.484216,246,16.363146
84.484216,246,24.263592
84.484216,246,24.302176
84.484216,246,24.339876
79.005869,246,31.859975
79.005869,246,31.89721
79.005869,246,31.933935
84.484216,246,39.42292
84.484216,246,39.460131
84.484216,246,39.499285
.561993,1187,9.607035
78.764592,794,9.996222
101.694244,1039,10.820578
32.364754,194,11.264626
121.449812,741,11.551058
161.615495,1156,12.355433
-7.626717,185,12.800186
-31.931414,176,1154.142634156.821282,1187,13.695425
189.077176,1187,14.516034
0.837822,175,14.594.947046,660,15.191657
178.610484,1187,16.034039
122.389407,1073,17.08843
167.438529,1187,17.925961
183.388472,1187,18.805738
97.940166,504,19.401544
210.799815,1061,20.17074
151.15675,495,20.353322
14.125821,194,20.429702
198.100846,1037,21.188102
-1.714112,186,21.627849
-1.596107,194,21.702643
178.126159,655,21.980887
3.25091127.114028,733,196.844645,1187,23.268993
175.473122,741,23.551838
146.267576,731,24.464405
184.108381,1187,25.293228
6.731402,210,25.374618
175.419961,1156,26.549678
16.493151,168,26.61654
206.012526,1187,27.424172
153.677713,781,28.077285
180.410804,731,28.351544
10.423512,187,28.795594
143.891591,495,28.985059
154.5947195.265112,1061,29.66857
155.92126,1039,3239.109333216.120282,1187,3226.744988207.99523,1187,32.192513
209.634059,1059,32.9611
188.531761,781,33.644591
154.9862,1044,34.449263
20.118924,185,34.524991
19.741637,172,34.59176.89-3.431269,166,35.03924.61198.835944,1060,35.9175.55177.859626,1137,36.241.9433.810665,194,36.89671219164.318097,1187,37.717251.6207.403439,1155,38.520195.0210.340275,1061,39.301131
15.449719,168,39.522711
537267,1059,32.25753
195.245238,1060,33.02865
206.942128,1187,34.273514
169.274976,1187,35.133466
227.430843,1187,36.13205
191.206612,1187,36.966406
189.585362,1173,37.780375
169.796319,655,38.390983
170.620094,1178,39.219343
144.152982,493,39.566393
